COMPONENT NAME,COMPONENT TYPE,CHANNEL ID,NAME,TYPE,COMMENT,ENUM NAME
rateGroup1Comp,ActiveRateGroup,21,RgMaxTime,U32,Max execution time rate group,None
rateGroup1Comp,ActiveRateGroup,22,RgCycleSlips,U32,Cycle slips for rate group,None
pingRcvr,PingReceiver,41,PR_NumPings,U32,Number of pings received,None
sendBuffComp,SendBuff,81,PacketsSent,U64,Number of packets sent,None
sendBuffComp,SendBuff,82,NumErrorsInjected,U32,Number of errors injected,None
sendBuffComp,SendBuff,83,Parameter3,U8,Readback of Parameter3,None
sendBuffComp,SendBuff,84,Parameter4,F32,Readback of Parameter4,None
sendBuffComp,SendBuff,85,SendState,ENUM,Readback of Parameter4,ActiveState
recvBuffComp,RecvBuff,101,NumPkts,U32,Number of packets received,None
recvBuffComp,RecvBuff,102,NumErrPkts,U32,Number of packets received with errors,None
recvBuffComp,RecvBuff,103,Sensor1,F32,Value of Sensor1,None
recvBuffComp,RecvBuff,104,Sensor2,F32,Value of Sensor3,None
recvBuffComp,RecvBuff,105,Parameter1,U32,Readback of Parameter1,None
recvBuffComp,RecvBuff,106,Parameter2,I16,Readback of Parameter2,None
cmdDisp,CommandDispatcher,121,CommandsDispatched,U32,Number of commands dispatched,None
cmdDisp,CommandDispatcher,122,CommandErrors,U32,Number of command errors,None
rateGroup2Comp,ActiveRateGroup,161,RgMaxTime,U32,Max execution time rate group,None
rateGroup2Comp,ActiveRateGroup,162,RgCycleSlips,U32,Cycle slips for rate group,None
cmdSeq,CmdSequencer,541,CS_LoadCommands,U32,The number of Load commands executed,None
cmdSeq,CmdSequencer,542,CS_CancelCommands,U32,The number of Cancel commands executed,None
cmdSeq,CmdSequencer,543,CS_Errors,U32,The number of errors that have occurred,None
cmdSeq,CmdSequencer,544,CS_CommandsExecuted,U32,The number of commands executed across all sequences.,None
cmdSeq,CmdSequencer,545,CS_SequencesCompleted,U32,The number of sequences completed.,None
SG1,SignalGen,181,SignalGen_Output,F32,SignalGen Output,None
SG3,SignalGen,201,SignalGen_Output,F32,SignalGen Output,None
SG2,SignalGen,221,SignalGen_Output,F32,SignalGen Output,None
rateGroup3Comp,ActiveRateGroup,241,RgMaxTime,U32,Max execution time rate group,None
rateGroup3Comp,ActiveRateGroup,242,RgCycleSlips,U32,Cycle slips for rate group,None
fileUplink,FileUplink,261,FileUplink_FilesReceived,U32,The total number of complete files received,None
fileUplink,FileUplink,262,FileUplink_PacketsReceived,U32,The total number of packets received,None
fileUplink,FileUplink,263,FileUplink_Warnings,U32,The total number of warnings issued,None
SG5,SignalGen,281,SignalGen_Output,F32,SignalGen Output,None
fileUplinkBufferManager,BufferManager,301,BufferManager_NumAllocatedBuffers,U32,The number of buffers currently allocated,None
fileUplinkBufferManager,BufferManager,302,BufferManager_AllocatedSize,U32,The total size of all allocated buffers,None
SG4,SignalGen,321,SignalGen_Output,F32,SignalGen Output,None
health,Health,361,PingLateWarnings,U32,Number of overrun warnings,None
fileDownlinkBufferManager,BufferManager,401,BufferManager_NumAllocatedBuffers,U32,The number of buffers currently allocated,None
fileDownlinkBufferManager,BufferManager,402,BufferManager_AllocatedSize,U32,The total size of all allocated buffers,None
blockDrv,BlockDriver,481,BD_Cycles,U32,Driver cycle count,None
fileDownlink,FileDownlink,501,FileDownlink_FilesSent,U32,The total number of files sent,None
fileDownlink,FileDownlink,502,FileDownlink_PacketsSent,U32,The total number of packets sent,None
fileDownlink,FileDownlink,503,FileDownlink_Warnings,U32,The total number of warnings,None
