COMPONENT NAME,COMPONENT TYPE,EVR ID,ARG NUMBER,ARG NAME,ARG TYPE,COMMENT,ENUM NAME
rateGroup1Comp,ActiveRateGroup,22,0,cycle,U32,The cycle where the cycle occurred,None
pingRcvr,PingReceiver,42,0,code,U32,Ping code,None
sendBuffComp,SendBuff,81,0,id,U32,The ID argument,None
sendBuffComp,SendBuff,82,0,id,U32,The ID argument,None
sendBuffComp,SendBuff,83,0,id,U32,The ID argument,None
sendBuffComp,SendBuff,84,0,arg1,U32,First FATAL argument,None
sendBuffComp,SendBuff,84,1,arg2,U32,Second FATAL argument,None
sendBuffComp,SendBuff,84,2,arg3,U32,Second FATAL argument,None
recvBuffComp,RecvBuff,101,0,id,U32,The ID argument,None
recvBuffComp,RecvBuff,102,0,id,U32,The ID argument,None
recvBuffComp,RecvBuff,103,0,id,U32,The ID argument,None
cmdDisp,CommandDispatcher,121,0,Opcode,U32,The opcode to register,None
cmdDisp,CommandDispatcher,121,1,port,I32,The registration port,None
cmdDisp,CommandDispatcher,121,2,slot,I32,The dispatch slot it was placed in,None
cmdDisp,CommandDispatcher,122,0,Opcode,U32,The opcode dispatched,None
cmdDisp,CommandDispatcher,122,1,port,I32,The port dispatched to,None
cmdDisp,CommandDispatcher,123,0,Opcode,U32,The I32 command argument,None
cmdDisp,CommandDispatcher,124,0,Opcode,U32,The opcode with the error,None
cmdDisp,CommandDispatcher,124,1,error,ENUM,The error value,ErrorResponse
cmdDisp,CommandDispatcher,125,0,Status,ENUM,The deserialization error,CmdSerError
cmdDisp,CommandDispatcher,126,0,Opcode,U32,Invalid opcode,None
cmdDisp,CommandDispatcher,127,0,Opcode,U32,The opcode that overflowed the list,None
cmdDisp,CommandDispatcher,129,0,No_op_string,string,The NO-OP string that is generated,None
cmdDisp,CommandDispatcher,130,0,arg1,I32,Arg1,None
cmdDisp,CommandDispatcher,130,1,arg2,F32,Arg2,None
cmdDisp,CommandDispatcher,130,2,arg3,U8,Arg3,None
cmdDisp,CommandDispatcher,131,0,arg1,I16,Arg1,None
cmdDisp,CommandDispatcher,131,1,arg2,string,Arg2,None
cmdDisp,CommandDispatcher,131,2,arg3,string,Arg3,None
cmdDisp,CommandDispatcher,131,3,arg4,F64,Arg4,None
prmDb,PrmDb,141,0,Id,U32,The parameter ID,None
prmDb,PrmDb,142,0,Id,U32,The parameter ID,None
prmDb,PrmDb,143,0,Id,U32,The parameter ID,None
prmDb,PrmDb,144,0,Id,U32,The parameter ID,None
prmDb,PrmDb,145,0,stage,ENUM,The write stage,PrmWriteError
prmDb,PrmDb,145,9,record,I32,The record that had the failure,None
prmDb,PrmDb,145,10,error,I32,The error code,None
prmDb,PrmDb,146,0,records,U32,The number of records saved,None
prmDb,PrmDb,147,0,stage,ENUM,The write stage,PrmReadError
prmDb,PrmDb,147,11,record,I32,The record that had the failure,None
prmDb,PrmDb,147,12,error,I32,The error code,None
prmDb,PrmDb,148,0,records,U32,The number of records loaded,None
rateGroup2Comp,ActiveRateGroup,162,0,cycle,U32,The cycle where the cycle occurred,None
cmdSeq,CmdSequencer,541,0,fileName,string,The name of the sequence file,None
cmdSeq,CmdSequencer,542,0,fileName,string,The name of the sequence file,None
cmdSeq,CmdSequencer,543,0,fileName,string,The name of the sequence file,None
cmdSeq,CmdSequencer,544,0,fileName,string,The name of the sequence file,None
cmdSeq,CmdSequencer,544,1,stage,ENUM,The read stage,FileReadStage
cmdSeq,CmdSequencer,544,9,error,I32,The error code,None
cmdSeq,CmdSequencer,545,0,fileName,string,The name of the sequence file,None
cmdSeq,CmdSequencer,545,1,recordNumber,U32,The record number,None
cmdSeq,CmdSequencer,545,2,error,I32,The error code,None
cmdSeq,CmdSequencer,546,0,fileName,string,The name of the sequence file,None
cmdSeq,CmdSequencer,546,1,size,U32,Inavalid size,None
cmdSeq,CmdSequencer,547,0,fileName,string,The sequence file,None
cmdSeq,CmdSequencer,548,0,fileName,string,The sequence file,None
cmdSeq,CmdSequencer,548,1,storedCRC,U32,The CRC stored in the file,None
