COMPONENT NAME,COMPONENT TYPE,EVR_ID,ENUM_NAME,INDETIFIER,VALUE,COMMENT
cmdDisp,CommandDispatcher,124,ErrorResponse,ERR_INVALID_OPCODE,0,Invalid opcode dispatched
cmdDisp,CommandDispatcher,124,ErrorResponse,ERR_VALIDATION_ERROR,1,Command failed validation
cmdDisp,CommandDispatcher,124,ErrorResponse,ERR_FORMAT_ERROR,2,Command failed to deserialize
cmdDisp,CommandDispatcher,124,ErrorResponse,ERR_EXECUTION_ERROR,3,Command had execution error
cmdDisp,CommandDispatcher,124,ErrorResponse,ERR_BUSY,4,Component busy
cmdDisp,CommandDispatcher,124,ErrorResponse,ERR_UNEXP,5,Unexpected response
cmdDisp,CommandDispatcher,125,CmdSerError,ERR_BUFFER_TOO_SMALL,0,Buffer too small
cmdDisp,CommandDispatcher,125,CmdSerError,ERR_BUFFER_FORMAT,1,Buffer wrong format
cmdDisp,CommandDispatcher,125,CmdSerError,ERR_SIZE_MISMATCH,2,Buffer size mismatch
cmdDisp,CommandDispatcher,125,CmdSerError,ERR_TYPE_MISMATCH,3,Buffer type mismatch
cmdDisp,CommandDispatcher,125,CmdSerError,ERR_UNEXP_STAT,4,Unexpected status
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_OPEN,0,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_DELIMETER,1,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_DELIMETER_SIZE,2,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_RECORD_SIZE,3,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_RECORD_SIZE_SIZE,4,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_PARAMETER_ID,5,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_PARAMETER_ID_SIZE,6,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_PARAMETER_VALUE,7,
prmDb,PrmDb,145,PrmWriteError,PRM_WRITE_PARAMETER_VALUE_SIZE,8,
prmDb,PrmDb,147,PrmReadError,PRM_READ_OPEN,0,
prmDb,PrmDb,147,PrmReadError,PRM_READ_DELIMETER,1,
prmDb,PrmDb,147,PrmReadError,PRM_READ_DELIMETER_SIZE,2,
prmDb,PrmDb,147,PrmReadError,PRM_READ_DELIMETER_VALUE,3,
prmDb,PrmDb,147,PrmReadError,PRM_READ_RECORD_SIZE,4,
prmDb,PrmDb,147,PrmReadError,PRM_READ_RECORD_SIZE_SIZE,5,
prmDb,PrmDb,147,PrmReadError,PRM_READ_RECORD_SIZE_VALUE,6,
prmDb,PrmDb,147,PrmReadError,PRM_READ_PARAMETER_ID,7,
prmDb,PrmDb,147,PrmReadError,PRM_READ_PARAMETER_ID_SIZE,8,
